
Scatter Plot 1D
 ==================== 
Intensity Sum Ch=1 Img=1,Unit,Channel,Image,ID,Surpass Object,Surpass Object Data ID,Original ID,Original Component Name,Original Component ID,Original Image Name,Original Image ID,
1.27e8,,1,Image 1,1,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,1,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
1.20e8,,1,Image 1,2,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,2,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
8.63e7,,1,Image 1,5,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,5,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
7.92e7,,1,Image 1,6,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,6,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
3.90e7,,1,Image 1,7,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,7,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
2.66e7,,1,Image 1,8,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,8,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
2.05e8,,1,Image 1,9,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,9,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
4.43e7,,1,Image 1,10,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,10,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
6.93e7,,1,Image 1,11,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,11,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
1.22e8,,1,Image 1,12,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,12,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
