
Scatter Plot 1D
 ==================== 
Volume,Unit,ID,Surpass Object,Surpass Object Data ID,Original ID,Original Component Name,Original Component ID,Original Image Name,Original Image ID,
369,µm^3,1,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,1,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
328,µm^3,2,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,2,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
256,µm^3,5,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,5,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
175,µm^3,6,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,6,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
93.9,µm^3,7,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,7,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
71.3,µm^3,8,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,8,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
458,µm^3,9,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,9,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
110,µm^3,10,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,10,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
166,µm^3,11,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,11,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
283,µm^3,12,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700001,12,dapi DAPI_2000.icsx_[ibrx_2024-12-23T16-34-31.242],700002,GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,Z:\data\w.zhong\GMM3repsD7_publication\rep1_copy\GMMD7_rep1_1_0_cmle_[ims1_2024-12-23T16-20-02.202].ims,
